spotify_track_uri,title,artist,album,listened,skipped,ms_played,incognito_mode,offline,reason_start_trackerror,reason_start_switched-to-audio,reason_start_appload,reason_start_fwdbtn,reason_start_remote,reason_start_clickrow,reason_start_backbtn,reason_start_playbtn,reason_start_trackdone,reason_end_unexpected-exit-while-paused,reason_end_logout,reason_end_trackerror,reason_end_unknown,reason_end_endplay,reason_end_fwdbtn,reason_end_remote,reason_end_unexpected-exit,reason_end_backbtn,reason_end_trackdone
spotify:track:74tLlkN3rgVzRqQJgPfink,Money Trees,Kendrick Lamar,"good kid, m.A.A.d city",255,89,61333676,0,1,0,0,26,54,3,52,9,0,111,2,40,0,1,35,44,2,0,10,121
spotify:track:5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,Kanye West,Graduation,231,77,38365745,1,0,0,0,14,53,0,46,5,1,112,1,23,0,0,37,35,0,0,5,130
spotify:track:3DK6m7It6Pw857FcQftMds,Runaway,Kanye West,My Beautiful Dark Twisted Fantasy,230,90,71652450,0,0,0,0,23,54,0,31,13,0,109,2,38,0,2,35,38,1,1,17,96
spotify:track:3A4cpTBPaIQdtPFb5JxtaX,Slow Jamz,Twista,The College Dropout,217,75,45195568,1,1,0,0,12,47,0,61,10,1,86,0,24,0,0,38,31,0,0,6,118
spotify:track:0mEdbdeRFQwBhN4xfyIeUM,Can't Tell Me Nothing,Kanye West,Graduation,207,77,35514375,0,1,0,0,11,51,1,45,3,0,96,0,18,0,0,39,33,0,0,5,112
spotify:track:34j4OxJxKznBs88cjSL2j9,Never Let Me Down,Kanye West,The College Dropout,206,86,35858298,0,1,0,0,22,50,0,25,10,0,99,0,24,0,0,28,48,0,1,10,95
spotify:track:1EaKU4dMbesXXd3BrLCtYG,ELEMENT.,Kendrick Lamar,DAMN.,201,65,30356843,0,5,0,0,9,61,0,36,12,0,83,0,14,0,0,21,38,0,0,6,122
spotify:track:6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,Kendrick Lamar,DAMN.,193,56,37860805,1,1,0,0,14,39,0,62,4,0,74,0,18,0,1,25,29,1,0,2,117
spotify:track:0Z2J91b2iTGLVTZC4fKgxf,Hit 'Em Up - Single Version,2Pac,Greatest Hits,185,70,35766288,0,1,0,0,23,36,0,44,5,1,76,1,28,0,0,26,38,0,0,6,86
spotify:track:4iz9lGMjU1lXS51oPmUmTe,Homecoming,Kanye West,Graduation,177,60,24139514,0,0,1,0,4,43,2,63,13,0,51,0,8,1,0,27,29,1,0,4,107
spotify:track:3VYzbU22BooAROigHHwycs,Swimming Pools (Drank) - Extended Version,Kendrick Lamar,"good kid, m.A.A.d city",176,68,33812018,0,0,0,0,11,50,1,12,12,0,90,1,23,0,0,14,42,1,0,12,83
spotify:track:5g1vtHqi9uV7xtYeCcFOBx,Jesus Walks,Kanye West,The College Dropout,174,69,20726309,0,0,0,0,5,49,0,29,10,0,81,0,9,0,0,21,34,0,0,14,96
spotify:track:50No7LiVffAJCWIChZodmU,Lucifer,Eminem,The Death of Slim Shady (Coup De Grâce),153,53,26774270,0,2,0,0,8,41,0,42,10,0,52,0,14,0,0,26,15,0,0,12,86
spotify:track:77DRzu7ERs0TX3roZcre7Q,euphoria,Kendrick Lamar,euphoria,153,64,36428991,0,2,0,0,19,44,0,32,3,0,55,1,22,0,0,25,33,0,0,6,66
spotify:track:5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,Kanye West,The College Dropout,151,67,16442007,0,0,0,0,5,26,0,29,16,0,75,1,8,0,0,31,27,0,0,9,75
