ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,listened
2024-04-02 11:59:16+00:00,android,17648,IT,93.45.87.138,Maria Maria (feat. The Product G&B),Santana,Supernatural,spotify:track:3XKIUb7HzIF1Vu9usunMzc,,,,clickrow,remote,False,False,False,1712058876,False,2
2024-04-02 12:05:41+00:00,windows,386906,IT,5.43.248.44,Money Trees,Kendrick Lamar,"good kid, m.A.A.d city",spotify:track:74tLlkN3rgVzRqQJgPfink,,,,clickrow,trackdone,False,False,False,1712059154,False,255
2024-04-02 12:07:38+00:00,windows,114934,IT,5.43.248.44,United In Grief,Kendrick Lamar,Mr. Morale & The Big Steppers,spotify:track:5Gt9bxniM1SxN61yRzRhXL,,,,trackdone,endplay,False,True,False,1712059541,False,58
2024-04-02 12:28:28+00:00,windows,380480,IT,5.43.248.44,Runaway,Kanye West,My Beautiful Dark Twisted Fantasy,spotify:track:3DK6m7It6Pw857FcQftMds,,,,clickrow,endplay,False,True,False,1712059658,False,230
2024-04-02 12:28:47+00:00,windows,17420,IT,5.43.248.44,Jägermeister,Da Tweekaz,10 Years Da Tweekaz - The Definitive Collection,spotify:track:19UGEZoMAqqaTEcEYNvsox,,,,playbtn,endplay,False,True,False,1712060909,False,1
2024-04-02 12:28:58+00:00,windows,9760,IT,5.43.248.44,One (Always Hardcore),Scooter,20 Years Of Hardcore,spotify:track:2c0uWMyR2X5VKFv84192sM,,,,playbtn,endplay,False,True,False,1712060927,False,1
2024-04-02 12:29:14+00:00,windows,15040,IT,5.43.248.44,Cotton Eye Joe,Rednex,Sex & Violins,spotify:track:06hsdMbBxWGqBO0TV0Zrkf,,,,playbtn,endplay,False,True,False,1712060938,False,1
2024-04-02 12:29:57+00:00,windows,43870,IT,5.43.248.44,Spingere,Il Pagante,Spingere,spotify:track:3RgpMcg7uRz9b4Sbn1iXec,,,,playbtn,endplay,False,True,False,1712060954,False,38
2024-04-02 12:30:16+00:00,windows,16250,IT,5.43.248.44,Blu Ghiaccio Travolgente,Tommaso Paradiso,Blu Ghiaccio Travolgente,spotify:track:3GQdbhyVZavhjqATBSBjbZ,,,,playbtn,endplay,False,True,False,1712060998,False,1
2024-04-02 12:30:40+00:00,windows,23630,IT,5.43.248.44,I'm A Believer,Smash Mouth,Smash Mouth,spotify:track:0C9jZPUv4SuaXkuEQw6L40,,,,playbtn,endplay,False,True,False,1712061016,False,1
